"X2.subject"	"X2.activity"	"X2.experimenttype"	"X2.tBodyAcc.mean...X"	"X2.tBodyAcc.mean...Y"	"X2.tBodyAcc.mean...Z"	"X2.tBodyAcc.std...X"	"X2.tBodyAcc.std...Y"	"X2.tBodyAcc.std...Z"	"X2.tGravityAcc.mean...X"	"X2.tGravityAcc.mean...Y"	"X2.tGravityAcc.mean...Z"	"X2.tGravityAcc.std...X"	"X2.tGravityAcc.std...Y"	"X2.tGravityAcc.std...Z"	"X2.tBodyAccJerk.mean...X"	"X2.tBodyAccJerk.mean...Y"	"X2.tBodyAccJerk.mean...Z"	"X2.tBodyAccJerk.std...X"	"X2.tBodyAccJerk.std...Y"	"X2.tBodyAccJerk.std...Z"	"X2.tBodyGyro.mean...X"	"X2.tBodyGyro.mean...Y"	"X2.tBodyGyro.mean...Z"	"X2.tBodyGyro.std...X"	"X2.tBodyGyro.std...Y"	"X2.tBodyGyro.std...Z"	"X2.tBodyGyroJerk.mean...X"	"X2.tBodyGyroJerk.mean...Y"	"X2.tBodyGyroJerk.mean...Z"	"X2.tBodyGyroJerk.std...X"	"X2.tBodyGyroJerk.std...Y"	"X2.tBodyGyroJerk.std...Z"	"X2.tBodyAccMag.mean.."	"X2.tBodyAccMag.std.."	"X2.tGravityAccMag.mean.."	"X2.tGravityAccMag.std.."	"X2.tBodyAccJerkMag.mean.."	"X2.tBodyAccJerkMag.std.."	"X2.tBodyGyroMag.mean.."	"X2.tBodyGyroMag.std.."	"X2.tBodyGyroJerkMag.mean.."	"X2.tBodyGyroJerkMag.std.."	"X2.fBodyAcc.mean...X"	"X2.fBodyAcc.mean...Y"	"X2.fBodyAcc.mean...Z"	"X2.fBodyAcc.std...X"	"X2.fBodyAcc.std...Y"	"X2.fBodyAcc.std...Z"	"X2.fBodyAcc.meanFreq...X"	"X2.fBodyAcc.meanFreq...Y"	"X2.fBodyAcc.meanFreq...Z"	"X2.fBodyAccJerk.mean...X"	"X2.fBodyAccJerk.mean...Y"	"X2.fBodyAccJerk.mean...Z"	"X2.fBodyAccJerk.std...X"	"X2.fBodyAccJerk.std...Y"	"X2.fBodyAccJerk.std...Z"	"X2.fBodyAccJerk.meanFreq...X"	"X2.fBodyAccJerk.meanFreq...Y"	"X2.fBodyAccJerk.meanFreq...Z"	"X2.fBodyGyro.mean...X"	"X2.fBodyGyro.mean...Y"	"X2.fBodyGyro.mean...Z"	"X2.fBodyGyro.std...X"	"X2.fBodyGyro.std...Y"	"X2.fBodyGyro.std...Z"	"X2.fBodyGyro.meanFreq...X"	"X2.fBodyGyro.meanFreq...Y"	"X2.fBodyGyro.meanFreq...Z"	"X2.fBodyAccMag.mean.."	"X2.fBodyAccMag.std.."	"X2.fBodyAccMag.meanFreq.."	"X2.fBodyBodyAccJerkMag.mean.."	"X2.fBodyBodyAccJerkMag.std.."	"X2.fBodyBodyAccJerkMag.meanFreq.."	"X2.fBodyBodyGyroMag.mean.."	"X2.fBodyBodyGyroMag.std.."	"X2.fBodyBodyGyroMag.meanFreq.."	"X2.fBodyBodyGyroJerkMag.mean.."	"X2.fBodyBodyGyroJerkMag.std.."	"X2.fBodyBodyGyroJerkMag.meanFreq.."
2	5	2	0.27859589	-0.015231928	-0.098908415	-0.99878507	-0.98194306	-0.99137882	0.92371888	-0.31398567	0.12787786	-0.99896777	-0.98598299	-0.98116601	0.073410891	0.0048205158	0.0055513158	-0.99667303	-0.98624441	-0.99071275	-0.025346783	-0.074217186	0.087760115	-0.99446328	-0.99282756	-0.99050543	-0.09760717	-0.043922229	-0.049796101	-0.99430186	-0.99498126	-0.99363215	-0.99200078	-0.99367767	-0.99200078	-0.99367767	-0.99248401	-0.99338931	-0.99262929	-0.99443845	-0.99501892	-0.99693534	-0.99826331	-0.98394109	-0.99048651	-0.99906652	-0.98092551	-0.99180335	0.17695169	0.2415588	0.37298588	-0.99670546	-0.98626158	-0.98849434	-0.99691631	-0.98719871	-0.9915971	0.35713544	0.14441309	0.28922957	-0.99303641	-0.99298218	-0.98963531	-0.99485695	-0.99268503	-0.99158402	-0.018031309	-0.090440351	-0.00096543092	-0.99370298	-0.99370311	0.30545062	-0.99227779	-0.9939467	0.38900332	-0.99416628	-0.99552528	0.25675176	-0.99650487	-0.99749031	0.69196501
2	5	2	0.27915178	-0.021879444	-0.10973077	-0.99778103	-0.99295121	-0.98568028	0.92403746	-0.31295562	0.1314731	-0.99837133	-0.99227971	-0.99206883	0.073495012	0.01105182	-0.01853629	-0.99404984	-0.98465144	-0.98674551	-0.029174831	-0.079426371	0.092674028	-0.99579842	-0.99382668	-0.99431145	-0.095793768	-0.038043778	-0.056942414	-0.99350021	-0.99529245	-0.99551391	-0.99317478	-0.99518342	-0.99317478	-0.99518342	-0.98917652	-0.99115044	-0.99425402	-0.9951991	-0.9954186	-0.99696993	-0.99635482	-0.98981458	-0.98430519	-0.99864331	-0.99431655	-0.98689355	0.31927728	0.58598205	0.52874656	-0.9938092	-0.98572742	-0.98549705	-0.99489149	-0.98435234	-0.9863919	0.38446364	0.27191831	0.10201815	-0.99346021	-0.99362734	-0.99400498	-0.99660277	-0.9939159	-0.99484074	0.37563099	0.10810538	0.079991136	-0.99400006	-0.99601109	0.65996686	-0.98988419	-0.99192121	0.37844046	-0.99495697	-0.99613329	0.34240159	-0.99659475	-0.997454	0.60281802
2	5	2	0.27454383	-0.023145294	-0.1125396	-0.99620456	-0.9915728	-0.98751828	0.92445923	-0.31568266	0.13103466	-0.9992491	-0.99095888	-0.98946132	0.076245658	0.0061658182	-0.0034026214	-0.99195764	-0.9882498	-0.98820739	-0.02794305	-0.07935183	0.096964901	-0.99489468	-0.9947356	-0.9963317	-0.097721303	-0.039609772	-0.051964221	-0.9930048	-0.99560214	-0.99580877	-0.99209849	-0.99412726	-0.99209849	-0.99412726	-0.9894526	-0.99451471	-0.99394477	-0.99576249	-0.99543688	-0.99728357	-0.99479144	-0.98861809	-0.98770144	-0.99693516	-0.99286441	-0.98747911	0.19866876	0.31115536	0.30426431	-0.99216963	-0.98856035	-0.98644174	-0.99240047	-0.98866439	-0.98846739	0.45134894	0.021321269	0.15938337	-0.99244084	-0.9945768	-0.99525125	-0.99570116	-0.99479355	-0.99709103	0.14844061	0.093543233	0.48206497	-0.99262272	-0.99530622	0.55483306	-0.99330914	-0.99541989	0.60688371	-0.99546295	-0.99666227	0.36725	-0.99676286	-0.99807903	0.5099332
2	5	2	0.26906631	-0.027685967	-0.11017794	-0.9968836	-0.9864395	-0.9884791	0.92317418	-0.31981835	0.12898325	-0.99281837	-0.98326068	-0.99353816	0.079173934	0.018495729	0.018553835	-0.99361731	-0.98564396	-0.99061427	-0.026941731	-0.068240615	0.089771735	-0.99388537	-0.98820559	-0.98344383	-0.10142743	-0.038160122	-0.058543152	-0.99293553	-0.99434929	-0.99290875	-0.98880473	-0.98770276	-0.98880473	-0.98770276	-0.99092702	-0.99385728	-0.98944095	-0.98687805	-0.99441044	-0.99553145	-0.99571171	-0.98442061	-0.98669651	-0.99749113	-0.98737963	-0.98979083	0.2514775	0.13520448	0.48353083	-0.99351603	-0.98401132	-0.98826057	-0.99430987	-0.98909532	-0.99166802	0.43404713	0.055112843	0.053564453	-0.99221021	-0.98992876	-0.98512453	-0.9943601	-0.98717522	-0.98420817	0.14550551	-0.33645861	-0.13300719	-0.98863354	-0.98793678	0.097035993	-0.99419527	-0.99185806	0.13403303	-0.98880945	-0.98753556	-0.11300024	-0.99535264	-0.99569128	0.19319416
2	5	2	0.27557925	-0.018936424	-0.097409776	-0.99606469	-0.96822549	-0.98069598	0.92036099	-0.32552855	0.12910023	-0.99243056	-0.98164027	-0.99003989	0.075745215	0.031020344	0.015751456	-0.99417651	-0.98532987	-0.991535	-0.026364477	-0.064583159	0.073449259	-0.99254536	-0.98826303	-0.98518426	-0.10010014	-0.039292409	-0.060488259	-0.99249168	-0.99386369	-0.99377681	-0.98345554	-0.98813206	-0.98345554	-0.98813206	-0.99209801	-0.99224337	-0.98770443	-0.98767351	-0.99443167	-0.99463809	-0.99606425	-0.97359746	-0.98332034	-0.99595662	-0.96645863	-0.97965915	-0.0020415029	0.16000974	0.14438791	-0.99513688	-0.98499726	-0.98902474	-0.99354233	-0.98683492	-0.99283303	0.399878	-0.0027572551	0.039919133	-0.99018207	-0.98942265	-0.98591136	-0.99324917	-0.98754431	-0.9861154	0.010284049	-0.28614322	-0.071623672	-0.98738595	-0.98950494	0.199881	-0.99335409	-0.98898022	0.077898404	-0.98960102	-0.98819675	-0.032675202	-0.99432072	-0.99513932	0.22436911
2	5	2	0.28193083	-0.004880615	-0.086106145	-0.98907559	-0.95900626	-0.97302388	0.91979943	-0.32576314	0.13401665	-0.99519236	-0.98160614	-0.96913566	0.065217218	-0.010943663	-0.025885472	-0.97944868	-0.96940183	-0.98769745	-0.076452794	-0.015582021	0.025521434	-0.84566376	-0.91612436	-0.91722556	-0.19787079	-0.025032953	-0.059846977	-0.96508293	-0.98444407	-0.97313161	-0.97177018	-0.96608028	-0.97177018	-0.96608028	-0.98444335	-0.97153546	-0.92345144	-0.72226181	-0.98575128	-0.96661468	-0.98320133	-0.95675185	-0.97471273	-0.99250983	-0.96178818	-0.97319102	0.33011891	0.0057261335	0.198011	-0.98020184	-0.96735551	-0.98362993	-0.9803966	-0.97451808	-0.99094372	0.3357909	-0.24398874	-0.03038267	-0.82265638	-0.94607132	-0.9348623	-0.85325262	-0.90235584	-0.91943187	-0.079403354	-0.75685515	-0.59458878	-0.97084205	-0.96746788	-0.071208833	-0.97648381	-0.963856	-0.074814654	-0.80914	-0.71810731	-0.31996662	-0.97267088	-0.96151741	-0.52806122
2	5	2	0.31107792	-0.019430625	-0.10186634	-0.9366878	-0.84018585	-0.81682639	0.87581327	-0.42668132	0.038234377	-0.86986537	-0.8714715	-0.82092428	0.037478233	-0.066680016	-0.10814524	-0.97516521	-0.95570343	-0.98472427	0.00099342639	-0.11268679	-0.0037551694	-0.97841972	-0.97751116	-0.9574625	-0.087205988	-0.042719445	-0.04751798	-0.98427753	-0.98620017	-0.9739398	-0.89114826	-0.84259528	-0.89114826	-0.84259528	-0.97436577	-0.96989694	-0.94244588	-0.96165032	-0.98494221	-0.98392743	-0.94551956	-0.88363239	-0.88166597	-0.9332142	-0.82986443	-0.79929807	-0.37318433	-0.014557772	-0.13025094	-0.97485024	-0.95676044	-0.98268615	-0.97779947	-0.95752624	-0.9852408	0.26361106	-0.12709369	-0.30359886	-0.97243376	-0.98011598	-0.9565205	-0.98025409	-0.9760463	-0.96150159	-0.15117555	-0.010314698	-0.23562451	-0.86204866	-0.85576029	-0.10261874	-0.97087879	-0.96707393	-0.0081488532	-0.97596859	-0.95954574	-0.37289205	-0.98468873	-0.98347904	0.17630955
2	5	2	0.26232825	-0.023257054	-0.12552494	-0.98456111	-0.91337982	-0.91267279	0.88997692	-0.42265611	0.044050888	-0.97024526	-0.9456811	-0.91993724	0.084069165	0.064999597	0.048234989	-0.98880708	-0.97822827	-0.9883445	-0.0061088604	-0.08363601	0.034434823	-0.98668458	-0.98896619	-0.97230704	-0.10448123	-0.035397886	-0.039153959	-0.99211655	-0.99280176	-0.99043873	-0.94390252	-0.93970043	-0.94390252	-0.93970043	-0.9860497	-0.98926886	-0.96709063	-0.97232791	-0.99263654	-0.99471661	-0.98654788	-0.92924887	-0.94633946	-0.98357495	-0.91017475	-0.90221327	-0.2203085	0.11982579	-0.0025179544	-0.98941257	-0.97834691	-0.98577613	-0.98906648	-0.97962797	-0.98959184	0.25142756	0.038733458	0.1753946	-0.98508824	-0.98913607	-0.97358459	-0.98713526	-0.9888398	-0.97422376	-0.19644416	-0.012228628	-0.013677736	-0.96053843	-0.93797575	-0.20658806	-0.98831696	-0.98931829	0.18832046	-0.9812298	-0.97131141	-0.21965188	-0.9942263	-0.99537261	0.48252707
2	5	2	0.28841575	-0.003485395	-0.083827858	-0.99457065	-0.97835984	-0.97994262	0.88529186	-0.42609871	0.038517398	-0.98971312	-0.97043824	-0.95956976	0.079803783	0.014624073	-0.0045173884	-0.99168826	-0.98327871	-0.99208358	-0.019768993	-0.079931119	0.077789083	-0.9883864	-0.99057798	-0.98068603	-0.10348036	-0.041431124	-0.046259069	-0.99359924	-0.99292775	-0.98920053	-0.97506523	-0.97474348	-0.97506523	-0.97474348	-0.99096838	-0.9911234	-0.98433291	-0.98766424	-0.99275342	-0.99496513	-0.99267369	-0.97977967	-0.98759141	-0.99553177	-0.97786162	-0.9762713	0.18626785	0.12666367	-0.03683484	-0.99122166	-0.9826427	-0.99116022	-0.99304259	-0.98535646	-0.9914358	0.41649044	0.037579871	0.052578094	-0.98710948	-0.99044019	-0.97982749	-0.98873327	-0.99064283	-0.98260428	-0.099926843	-0.038695197	-0.039076312	-0.98357957	-0.97284557	-0.1044758	-0.99027752	-0.99109654	0.31371497	-0.99049256	-0.98760355	-0.032847815	-0.99448466	-0.99573512	0.32854947
2	5	2	0.27116593	-0.025972908	-0.094923481	-0.97012403	-0.90187818	-0.9652996	0.88868488	-0.41889767	0.046875908	-0.98890631	-0.98323615	-0.97134623	0.058055977	-0.024006991	-0.031103821	-0.95251521	-0.93148972	-0.97959714	-0.026489988	-0.086821561	0.12018605	-0.95170794	-0.96834668	-0.94386544	-0.1109612	-0.057722741	-0.039061843	-0.94984523	-0.97602371	-0.95500434	-0.95883076	-0.92293487	-0.95883076	-0.92293487	-0.96404005	-0.93386755	-0.95847553	-0.92509765	-0.97088597	-0.95995921	-0.95935318	-0.9008582	-0.96839921	-0.97563293	-0.90761105	-0.96524359	0.12067035	0.028758826	0.09804099	-0.95448426	-0.930852	-0.97577418	-0.95454897	-0.93728902	-0.98214495	0.20053662	-0.21957247	-0.19077559	-0.9372461	-0.9658466	-0.9379497	-0.95624666	-0.97015055	-0.95097075	-0.27269254	-0.043400546	-0.10955717	-0.93889729	-0.92558908	-0.031525295	-0.9486251	-0.91616953	0.1017352	-0.94747945	-0.92406528	-0.33818405	-0.9682135	-0.9529879	-0.032604684
2	5	2	0.25309467	-0.044192268	-0.13929762	-0.96892213	-0.9103836	-0.91886033	0.88639445	-0.42463213	0.049435445	-0.97642372	-0.94935411	-0.98430715	0.069933008	-0.0029778293	-0.0087410564	-0.94378163	-0.92890125	-0.96683346	-0.025536965	-0.11232642	0.12869787	-0.94013604	-0.9574808	-0.93900763	-0.10432095	-0.027930448	-0.069738881	-0.94481275	-0.96642179	-0.93835316	-0.9254881	-0.93678778	-0.9254881	-0.93678778	-0.95100947	-0.93406878	-0.9350631	-0.93730316	-0.95872291	-0.95653005	-0.95800959	-0.91284737	-0.94305323	-0.9744658	-0.91369708	-0.91183774	0.068565381	-0.042563021	-0.22090844	-0.94744038	-0.92929704	-0.96320915	-0.94476876	-0.93353671	-0.96888816	0.11305773	-0.2947467	-0.15223459	-0.92886803	-0.95693278	-0.92857984	-0.94369417	-0.95803225	-0.94835382	-0.35007014	-0.021418832	0.016909702	-0.937565	-0.9450127	0.066166487	-0.94052192	-0.92477757	0.091977924	-0.94531701	-0.94233863	-0.11987441	-0.96366826	-0.95079236	0.10784972
2	5	2	0.27133883	-0.029954058	-0.11859533	-0.96093148	-0.90503507	-0.87126958	0.8782922	-0.44115702	0.039357117	-0.97823679	-0.94589569	-0.93292764	0.10063345	0.061156235	0.028254346	-0.9110978	-0.90753609	-0.93324296	-0.031374775	-0.053952104	0.073211718	-0.95113006	-0.91043949	-0.91614341	-0.097805754	-0.018566344	-0.081625418	-0.93067604	-0.90816606	-0.90775388	-0.91671002	-0.93474524	-0.91671002	-0.93474524	-0.93070744	-0.87954362	-0.92330487	-0.90547784	-0.93362003	-0.88418956	-0.94008646	-0.88954707	-0.90114002	-0.97319827	-0.91953039	-0.86482459	0.61495065	0.33676435	0.11051475	-0.90958203	-0.9030731	-0.92189602	-0.92108271	-0.92041254	-0.94377726	0.58081139	0.23727145	0.32755029	-0.92800798	-0.89863943	-0.88978221	-0.95883868	-0.91917057	-0.93454571	0.060073377	0.29989994	0.086368293	-0.92074201	-0.95342129	0.56219073	-0.89671319	-0.85890056	-0.30181163	-0.89294573	-0.93324624	0.41348437	-0.89482845	-0.87826277	-0.048728739
2	5	2	0.29926682	0.011798517	-0.031653276	-0.94875426	-0.84418244	-0.88070536	0.87638473	-0.44715997	0.039266249	-0.98946113	-0.97012703	-0.91379833	0.072036923	0.019867445	0.00019655927	-0.88857658	-0.86106469	-0.92702027	-0.035775411	-0.010620763	0.03852549	-0.95053621	-0.85592718	-0.74673048	-0.086341844	-0.043942122	-0.04379737	-0.91618991	-0.89101883	-0.73791892	-0.8866145	-0.85899127	-0.8866145	-0.85899127	-0.89156887	-0.88053321	-0.87094775	-0.7753274	-0.89403232	-0.82266518	-0.92600164	-0.84118481	-0.88913982	-0.96120153	-0.85473296	-0.88446849	0.37177873	0.03202792	-0.04291406	-0.89059864	-0.85920021	-0.9110382	-0.89640782	-0.87364088	-0.94340129	0.46060613	-0.12214572	0.076147088	-0.92821564	-0.84501826	-0.67759186	-0.95790749	-0.86407104	-0.79722974	0.28644223	-0.10427954	-0.0024584671	-0.85460731	-0.88231245	0.080126495	-0.88026295	-0.87894298	-0.012411066	-0.78746748	-0.80526513	0.056952593	-0.81999084	-0.83860362	0.12073597
2	5	2	0.29389749	0.01115091	-0.069281198	-0.96241329	-0.86333992	-0.85995713	0.88282593	-0.43031319	0.066307063	-0.97763912	-0.91799566	-0.86717267	0.067964088	-0.0080134702	-0.02831438	-0.92750791	-0.89498259	-0.96125155	-0.031933568	-0.080878973	0.067888599	-0.95451242	-0.87379114	-0.75439235	-0.089551643	-0.055978262	-0.039311445	-0.94605528	-0.93661541	-0.75060083	-0.91424457	-0.84884008	-0.91424457	-0.84884008	-0.93379134	-0.90934307	-0.89507731	-0.7741979	-0.93389188	-0.84068516	-0.94789038	-0.86853152	-0.91512364	-0.97000008	-0.8682478	-0.8440588	0.19806039	-0.083162951	-0.43838144	-0.93020452	-0.89632312	-0.95727197	-0.93101079	-0.9008797	-0.96363442	0.28902635	-0.25788925	-0.28978147	-0.93822219	-0.88434909	-0.68299854	-0.95970247	-0.86844779	-0.80544976	-0.02168314	-0.38444706	-0.020188191	-0.88238538	-0.85484132	-0.3007539	-0.91905285	-0.89593722	-0.11172632	-0.80571585	-0.79151224	-0.14354921	-0.83178344	-0.86460754	0.055722928
2	5	2	0.27563911	-0.015565524	-0.1254582	-0.98916068	-0.96851562	-0.96872274	0.88824855	-0.41368431	0.081629881	-0.99197651	-0.97603214	-0.969735	0.085393668	0.013232424	-0.015536821	-0.98039241	-0.97121581	-0.98048179	-0.033494339	-0.10529761	0.10193292	-0.96920737	-0.97220064	-0.96580084	-0.09617789	-0.044631724	-0.043954046	-0.98031888	-0.98318899	-0.97127637	-0.97639741	-0.98002125	-0.97639741	-0.98002125	-0.97752202	-0.98219111	-0.96121993	-0.97418936	-0.98156201	-0.98178573	-0.98365223	-0.96558983	-0.96942614	-0.99230894	-0.97111034	-0.96987614	0.44255045	0.004257158	0.039249426	-0.97766077	-0.96992179	-0.97727921	-0.98601668	-0.97508171	-0.98229033	0.623365	-0.13054926	-0.20137703	-0.96995581	-0.97447368	-0.96152085	-0.96924784	-0.97094493	-0.97036052	-0.3521088	-0.25170247	-0.036727166	-0.97599241	-0.98508439	0.33450023	-0.98055474	-0.98306156	0.43756792	-0.97769301	-0.97594928	-0.053355248	-0.98069188	-0.98432463	0.23754746
2	5	2	0.27225459	-0.025051205	-0.13318432	-0.99115349	-0.96354868	-0.97316133	0.88833105	-0.41194179	0.075492335	-0.99607584	-0.99233821	-0.96880022	0.07232242	-0.0040930707	0.0022683017	-0.98679902	-0.97633977	-0.98315362	-0.032800503	-0.090070366	0.11430315	-0.97998548	-0.98331456	-0.97736636	-0.098093802	-0.03135971	-0.051153105	-0.98633375	-0.98639137	-0.98506684	-0.97278247	-0.97340407	-0.97278247	-0.97340407	-0.98230467	-0.98736749	-0.97418211	-0.98141963	-0.98801891	-0.98567978	-0.98861582	-0.96663407	-0.97627432	-0.99236991	-0.96315009	-0.97245528	0.027733679	0.018259313	-0.0060243493	-0.98641512	-0.97693686	-0.98054747	-0.98847165	-0.97725064	-0.98430666	0.23514688	-0.15969842	-0.095183692	-0.97913434	-0.98077626	-0.97611518	-0.98029393	-0.98515793	-0.97972877	-0.42225647	0.080033882	-0.17980592	-0.9744553	-0.97575665	-0.0047700824	-0.98616213	-0.98789437	0.44725853	-0.9841708	-0.98245605	-0.044412803	-0.98489458	-0.98743883	0.31134412
2	5	2	0.27642711	-0.026277565	-0.12694133	-0.99298881	-0.96561954	-0.9657378	0.88653599	-0.41739217	0.065348552	-0.99497146	-0.97217475	-0.95317626	0.074509321	0.017702929	0.034901242	-0.99122791	-0.98334338	-0.99065479	-0.02498197	-0.070265151	0.092864514	-0.98470493	-0.98444181	-0.97051035	-0.10085785	-0.0402331	-0.070964995	-0.98876545	-0.99298212	-0.99171636	-0.97410189	-0.97369118	-0.97410189	-0.97369118	-0.98929212	-0.99316908	-0.97913622	-0.98335629	-0.99242066	-0.99343452	-0.99282776	-0.97257829	-0.97418822	-0.99293072	-0.96330923	-0.96271167	-0.15340739	-0.13253471	0.27629228	-0.9921867	-0.98208096	-0.98902257	-0.99086264	-0.98635276	-0.99081268	0.20619193	-0.0062829666	0.01277763	-0.98292601	-0.98663348	-0.97386344	-0.9852218	-0.98317441	-0.97192347	-0.30271284	-0.39153471	-0.045656877	-0.97854756	-0.9738442	-0.093595286	-0.99231488	-0.99316333	0.51540302	-0.9873502	-0.98329745	-0.22248647	-0.99366355	-0.99315607	0.079946621
2	5	2	0.28016952	-0.014362437	-0.10047145	-0.99359232	-0.9719031	-0.97793999	0.88595445	-0.42208281	0.05903586	-0.99566606	-0.9876842	-0.98105626	0.072727808	0.010693404	0.0035057619	-0.98996687	-0.98474713	-0.98931245	-0.023093566	-0.066467535	0.080856878	-0.98872228	-0.98688683	-0.97959066	-0.093747448	-0.040897472	-0.063732156	-0.99058671	-0.99430137	-0.99142034	-0.98424763	-0.98596967	-0.98424763	-0.98596967	-0.98869299	-0.99247748	-0.98438424	-0.98548723	-0.99339805	-0.99497909	-0.991768	-0.97863946	-0.98382913	-0.99446169	-0.96934037	-0.97529929	0.18593119	-0.081494006	0.1477802	-0.98987604	-0.98369362	-0.98701525	-0.99096575	-0.98734666	-0.99024547	0.35581526	-0.019117537	0.31193441	-0.9867391	-0.98940614	-0.98024967	-0.9892802	-0.98544675	-0.98105398	-0.15348796	-0.46675056	-0.15788164	-0.986493	-0.98674105	0.12423969	-0.99070753	-0.99399011	0.55751339	-0.98792314	-0.98604296	-0.1795864	-0.99455145	-0.99565783	0.21909286
2	5	2	0.27746102	-0.01584543	-0.10639347	-0.99502745	-0.97159341	-0.97872472	0.88675759	-0.42075175	0.061267268	-0.99613717	-0.98906538	-0.98159227	0.076517346	0.010128253	-0.013201935	-0.98961731	-0.98141948	-0.9894596	-0.02648868	-0.074340759	0.082382273	-0.9901469	-0.99118254	-0.9850075	-0.10172432	-0.038908867	-0.051866697	-0.99147383	-0.99380568	-0.99351864	-0.9863763	-0.98543415	-0.9863763	-0.98543415	-0.98787803	-0.99101282	-0.98864889	-0.99072753	-0.99388532	-0.99488451	-0.99360857	-0.97619194	-0.98349138	-0.9957038	-0.96998062	-0.97662314	0.24346025	-0.040244128	0.062396995	-0.9903802	-0.98112071	-0.9878848	-0.98961906	-0.98315624	-0.98952152	0.42711219	0.029248816	0.072280555	-0.98712175	-0.99138461	-0.98741471	-0.99105611	-0.99102057	-0.98539447	-0.19006498	-0.047763183	-0.11584666	-0.98525593	-0.98677206	0.12210736	-0.99007226	-0.99098238	0.41450305	-0.99114474	-0.99184283	0.067331992	-0.9943382	-0.99576015	0.40921793
2	5	2	0.28837469	-0.0085476599	-0.10705876	-0.99334035	-0.9619744	-0.98449309	0.88727114	-0.41949043	0.062138516	-0.99569824	-0.98992735	-0.99078944	0.079692861	0.021893719	0.019722732	-0.99297171	-0.98450842	-0.99185676	-0.02724897	-0.070042463	0.072089463	-0.99325049	-0.99242499	-0.98659587	-0.098589224	-0.041452921	-0.048265495	-0.99406273	-0.9946282	-0.99371752	-0.98114936	-0.98288288	-0.98114936	-0.98288288	-0.99070401	-0.99477924	-0.98950178	-0.99283727	-0.99509372	-0.99577314	-0.99305923	-0.97531313	-0.98802879	-0.99334268	-0.95736238	-0.9826124	0.24975227	-0.0053021161	0.28114295	-0.99163949	-0.98512245	-0.99031655	-0.99552724	-0.98480126	-0.99192643	0.84544456	0.14144446	0.18472694	-0.99172275	-0.99300989	-0.98819888	-0.9936682	-0.99201558	-0.9870972	-0.16448883	-0.08531104	0.12327815	-0.9884016	-0.98126903	-0.093381174	-0.99446766	-0.99386613	0.32053105	-0.99334345	-0.99350915	0.12489191	-0.99505118	-0.99694719	0.61763089
2	5	2	0.28590496	-0.0077447295	-0.10273652	-0.99188377	-0.96571091	-0.98415868	0.89033905	-0.41431632	0.063073539	-0.98596458	-0.97055933	-0.98387503	0.073692837	0.022299194	0.024172207	-0.99448244	-0.98340546	-0.99015863	-0.030446957	-0.069251086	0.084129975	-0.97846434	-0.98511749	-0.98276696	-0.13741057	-0.029849391	-0.038735438	-0.98464085	-0.99346953	-0.99098372	-0.98120081	-0.98298022	-0.98120081	-0.98298022	-0.99091628	-0.99143577	-0.98495044	-0.96738778	-0.99269469	-0.98906268	-0.99314892	-0.9760806	-0.98592627	-0.99118246	-0.96201887	-0.98335652	-0.15774231	0.0059919628	0.44376505	-0.99392541	-0.98397812	-0.98778377	-0.9957298	-0.98383158	-0.991224	0.48134703	-0.21158741	-0.15491928	-0.96317983	-0.98548682	-0.98725653	-0.98420307	-0.98489038	-0.98274147	0.55089738	-0.055274095	0.1916085	-0.98657404	-0.98232817	0.39047075	-0.9902788	-0.99199851	0.093283499	-0.96671378	-0.97348827	0.18139923	-0.98829589	-0.99062868	0.028384013
2	4	2	0.29648714	-0.014684879	-0.13980848	-0.98771367	-0.83424238	-0.94105035	0.95201324	-0.12719693	0.17324768	-0.97442821	-0.87785609	-0.9336702	0.074167624	-0.088429566	-0.00057513147	-0.98766148	-0.95062266	-0.98048751	-0.050171548	-0.073211502	0.1837903	-0.98222253	-0.95870792	-0.92994218	-0.092742071	-0.016699782	-0.11955963	-0.97836982	-0.98580596	-0.9740108	-0.92873856	-0.89838027	-0.92873856	-0.89838027	-0.97766739	-0.96574161	-0.94284864	-0.92860311	-0.98480912	-0.97945377	-0.98753271	-0.8594018	-0.96188356	-0.98763692	-0.83148234	-0.93410666	-0.11400833	0.078754108	-0.1870107	-0.98622758	-0.94453649	-0.97477076	-0.99073206	-0.96343171	-0.98561403	0.57232463	-0.010792723	0.21894857	-0.974845	-0.96180088	-0.91597823	-0.98460294	-0.95706297	-0.94151623	-0.026891422	-0.26365587	0.3050329	-0.89882048	-0.91278824	-0.017194091	-0.96443364	-0.96607792	-0.056101764	-0.93493886	-0.93622448	-0.026011014	-0.98173276	-0.9775839	-0.088711103
